,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,STATUS,PRODUCTCODE,PHONE,CITY,STATE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
50,10381,36,100.0,Shipped,S10_1949,6505551386,San Francisco,CA,USA,Brown,Julie,Large
51,10391,24,100.0,Shipped,S10_1949,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Small
52,10411,23,100.0,Shipped,S10_1949,(514) 555-8054,Montreal,Quebec,Canada,Fresnisre,Jean,Medium
53,10424,50,100.0,In Process,S10_1949,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Large
54,10107,39,99.91,Shipped,S10_2016,2125557818,NYC,NY,USA,Yu,Kwai,Medium
55,10120,29,96.34,Shipped,S10_2016,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Small
56,10134,27,100.0,Shipped,S10_2016,+33 1 46 62 7555,Paris,,France,Da Cunha,Daniel,Medium
57,10145,37,100.0,Shipped,S10_2016,6265557265,Pasadena,CA,USA,Young,Julie,Medium
58,10159,37,100.0,Shipped,S10_2016,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
59,10168,27,100.0,Shipped,S10_2016,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
60,10180,42,100.0,Shipped,S10_2016,20.16.1555,Lille,,France,Rance,Martine,Medium
61,10188,38,96.34,Shipped,S10_2016,+47 2267 3215,Bergen,,Norway,Oeztan,Veysel,Medium
62,10201,24,100.0,Shipped,S10_2016,6505555787,San Francisco,CA,USA,Murphy,Julie,Medium
63,10210,23,100.0,Shipped,S10_2016,+81 06 6342 5555,Osaka,Osaka,Japan,Kentary,Mory,Medium
64,10223,47,100.0,Shipped,S10_2016,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
65,10236,22,100.0,Shipped,S10_2016,2155559857,Philadelphia,PA,USA,Hernandez,Rosa,Small
66,10251,44,100.0,Shipped,S10_2016,2015559350,Newark,NJ,USA,Brown,William,Medium
67,10263,40,100.0,Shipped,S10_2016,2035552570,Bridgewater,CT,USA,King,Julie,Medium
68,10275,22,100.0,Shipped,S10_2016,40.67.8555,Nantes,,France,Labrune,Janine,Small
69,10285,47,100.0,Shipped,S10_2016,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
70,10298,39,96.34,Shipped,S10_2016,40.32.2555,Nantes,,France,Schmitt,Carine,Medium
71,10308,34,100.0,Shipped,S10_2016,9145554562,White Plains,NY,USA,Frick,Steve,Medium
72,10318,45,100.0,Shipped,S10_2016,2155551555,Allentown,PA,USA,Yu,Kyung,Medium
73,10329,20,100.0,Shipped,S10_2016,2125557818,NYC,NY,USA,Yu,Kwai,Medium
74,10339,40,68.92,Shipped,S10_2016,+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Small
75,10361,26,51.15,Shipped,S10_2016,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Small
76,10374,39,100.0,Shipped,S10_2016,61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Medium
77,10388,50,44.51,Shipped,S10_2016,5085552555,New Bedford,MA,USA,Benitez,Violeta,Small
78,10402,45,100.0,Shipped,S10_2016,(1) 47.55.6555,Paris,,France,Perrier,Dominique,Medium
79,10417,45,100.0,Disputed,S10_2016,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Medium
80,10107,27,100.0,Shipped,S10_4698,2125557818,NYC,NY,USA,Yu,Kwai,Medium
81,10120,46,100.0,Shipped,S10_4698,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Large
82,10134,31,100.0,Shipped,S10_4698,+33 1 46 62 7555,Paris,,France,Da Cunha,Daniel,Large
83,10145,33,100.0,Shipped,S10_4698,6265557265,Pasadena,CA,USA,Young,Julie,Medium
84,10159,22,100.0,Shipped,S10_4698,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
85,10168,20,100.0,Shipped,S10_4698,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
86,10180,41,100.0,Shipped,S10_4698,20.16.1555,Lille,,France,Rance,Martine,Large
87,10188,45,100.0,Shipped,S10_4698,+47 2267 3215,Bergen,,Norway,Oeztan,Veysel,Large
88,10201,49,100.0,Shipped,S10_4698,6505555787,San Francisco,CA,USA,Murphy,Julie,Large
89,10210,34,100.0,Shipped,S10_4698,+81 06 6342 5555,Osaka,Osaka,Japan,Kentary,Mory,Medium
90,10223,49,100.0,Shipped,S10_4698,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Large
91,10237,39,100.0,Shipped,S10_4698,2125551500,NYC,NY,USA,Frick,Michael,Large
92,10251,43,100.0,Shipped,S10_4698,2015559350,Newark,NJ,USA,Brown,William,Large
93,10263,41,100.0,Shipped,S10_4698,2035552570,Bridgewater,CT,USA,King,Julie,Large
94,10275,36,100.0,Shipped,S10_4698,40.67.8555,Nantes,,France,Labrune,Janine,Medium
95,10285,27,100.0,Shipped,S10_4698,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
96,10299,29,100.0,Shipped,S10_4698,90-224 8555,Helsinki,,Finland,Karttunen,Matti,Medium
97,10308,20,100.0,Shipped,S10_4698,9145554562,White Plains,NY,USA,Frick,Steve,Medium
98,10318,37,100.0,Shipped,S10_4698,2155551555,Allentown,PA,USA,Yu,Kyung,Large
99,10329,26,100.0,Shipped,S10_4698,2125557818,NYC,NY,USA,Yu,Kwai,Medium
100,10339,39,76.67,Shipped,S10_4698,+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Small
101,10362,22,100.0,Shipped,S10_4698,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
102,10374,22,100.0,Shipped,S10_4698,61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Medium
103,10388,21,86.77,Shipped,S10_4698,5085552555,New Bedford,MA,USA,Benitez,Violeta,Small
104,10403,66,100.0,Shipped,S10_4698,(171) 555-2282,Liverpool,,UK,Devon,Elizabeth,Large
105,10417,56,100.0,Disputed,S10_4698,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Large
106,10105,50,100.0,Shipped,S10_4757,31 12 3555,Kobenhavn,,Denmark,Petersen,Jytte,Large
107,10119,46,100.0,Shipped,S10_4757,6562-9555,Salzburg,,Austria,Pipps,Georg,Medium
108,10129,33,100.0,Shipped,S10_4757,(171) 555-0297,London,,UK,Brown,Ann,Medium
109,10143,49,100.0,Shipped,S10_4757,5085559555,New Bedford,MA,USA,Tam,Wing C,Medium
110,10155,32,100.0,Shipped,S10_4757,90-224 8555,Helsinki,,Finland,Karttunen,Matti,Medium
111,10167,44,100.0,Cancelled,S10_4757,0695-34 6555,Boras,,Sweden,Larsson,Maria,Medium
112,10178,24,100.0,Shipped,S10_4757,61.77.6555,Toulouse,,France,Roulet,Annette,Medium
113,10186,26,100.0,Shipped,S10_4757,(171) 555-7555,London,,UK,Hardy,Thomas,Medium
114,10197,45,100.0,Shipped,S10_4757,(93) 203 4555,Barcelona,,Spain,Saavedra,Eduardo,Medium
115,10209,39,100.0,Shipped,S10_4757,2155554369,Los Angeles,CA,USA,Chandler,Michael,Medium
116,10222,49,100.0,Shipped,S10_4757,7605558146,San Diego,CA,USA,Thompson,Valarie,Medium
117,10248,20,100.0,Cancelled,S10_4757,2125557818,NYC,NY,USA,Yu,Kwai,Small
118,10261,27,100.0,Shipped,S10_4757,(514) 555-8054,Montreal,Quebec,Canada,Fresnisre,Jean,Medium
119,10273,30,100.0,Shipped,S10_4757,(02) 5554 67,Bruxelles,,Belgium,Dewey,Catherine,Medium
120,10283,25,100.0,Shipped,S10_4757,(604) 555-4555,Tsawassen,BC,Canada,Lincoln,Elizabeth,Small
121,10295,24,100.0,Shipped,S10_4757,6175559555,Boston,MA,USA,Yoshido,Juri,Medium
122,10307,22,100.0,Shipped,S10_4757,2155554695,Philadelphia,PA,USA,Cervantes,Francisca,Small
123,10316,33,100.0,Shipped,S10_4757,(198) 555-8888,Cowes,Isle of Wight,UK,Bennett,Helen,Medium
124,10325,47,64.93,Shipped,S10_4757,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Medium
125,10337,25,48.05,Shipped,S10_4757,2125558493,NYC,NY,USA,Hernandez,Maria,Small
126,10350,26,75.47,Shipped,S10_4757,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Small
127,10359,48,54.68,Shipped,S10_4757,26.47.1555,Reims,,France,Henriot,Paul,Small
128,10373,39,100.0,Shipped,S10_4757,981-443655,Oulu,,Finland,Koskitalo,Pirkko,Medium
129,10384,34,100.0,Shipped,S10_4757,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
130,10395,32,100.0,Shipped,S10_4757,+33 1 46 62 7555,Paris,,France,Da Cunha,Daniel,Medium
131,10400,64,100.0,Shipped,S10_4757,4085553659,San Jose,CA,USA,Frick,Sue,Large
132,10414,19,100.0,On Hold,S10_4757,6175559555,Boston,MA,USA,Yoshido,Juri,Small
133,10103,42,100.0,Shipped,S10_4962,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Medium
134,10114,31,100.0,Shipped,S10_4962,(1) 42.34.2555,Paris,,France,Bertrand,Marie,Medium
135,10126,22,100.0,Shipped,S10_4962,(91) 555 22 82,Madrid,,Spain,Sommer,Mart¡n,Medium
136,10140,26,100.0,Shipped,S10_4962,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
137,10150,20,100.0,Shipped,S10_4962,+65 221 7555,Singapore,,Singapore,Natividad,Eric,Medium
138,10164,21,100.0,Resolved,S10_4962,7675-3555,Graz,,Austria,Mendel,Roland,Medium
139,10175,33,100.0,Shipped,S10_4962,(171) 555-0297,London,,UK,Brown,Ann,Medium
140,10183,28,100.0,Shipped,S10_4962,2155554695,Philadelphia,PA,USA,Cervantes,Francisca,Medium
141,10194,26,100.0,Shipped,S10_4962,78.32.5555,Lyon,,France,Saveley,Mary,Medium
142,10207,31,100.0,Shipped,S10_4962,6175552555,Boston,MA,USA,Franco,Valarie,Medium
143,10217,48,100.0,Shipped,S10_4962,+65 224 1555,Singapore,,Singapore,Victorino,Wendy,Large
144,10229,50,100.0,Shipped,S10_4962,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
145,10245,28,100.0,Shipped,S10_4962,2035559545,New Haven,CT,USA,Murphy,Leslie,Medium
146,10259,26,100.0,Shipped,S10_4962,+65 224 1555,Singapore,,Singapore,Victorino,Wendy,Medium
147,10270,32,100.0,Shipped,S10_4962,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Medium
148,10281,44,100.0,Shipped,S10_4962,2155551555,Allentown,PA,USA,Yu,Kyung,Large
149,10291,30,100.0,Shipped,S10_4962,0695-34 6555,Boras,,Sweden,Larsson,Maria,Medium
150,10305,38,100.0,Shipped,S10_4962,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
151,10313,40,100.0,Shipped,S10_4962,(604) 555-3392,Vancouver,BC,Canada,Tannamuri,Yoshi,Medium
152,10322,46,61.99,Shipped,S10_4962,6035558647,Nashua,NH,USA,Young,Valarie,Small
153,10334,26,100.0,On Hold,S10_4962,0921-12 3555,Lule,,Sweden,Berglund,Christina,Medium
154,10347,27,100.0,Shipped,S10_4962,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
155,10357,43,100.0,Shipped,S10_4962,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
156,10370,35,65.63,Shipped,S10_4962,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Small
157,10381,37,100.0,Shipped,S10_4962,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
158,10391,37,46.9,Shipped,S10_4962,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Small
159,10411,27,100.0,Shipped,S10_4962,(514) 555-8054,Montreal,Quebec,Canada,Fresnisre,Jean,Medium
160,10425,38,100.0,In Process,S10_4962,40.67.8555,Nantes,,France,Labrune,Janine,Medium
161,10108,33,100.0,Shipped,S12_1099,+63 2 555 3587,Makati City,,Philippines,Cruz,Arnold,Medium
162,10122,42,100.0,Shipped,S12_1099,91.24.4555,Marseille,,France,Lebihan,Laurence,Large
163,10135,42,100.0,Shipped,S12_1099,4155551450,San Rafael,CA,USA,Nelson,Valarie,Large
164,10147,48,100.0,Shipped,S12_1099,6175558555,Brickhaven,MA,USA,Nelson,Allen,Large
165,10159,41,100.0,Shipped,S12_1099,6505551386,San Francisco,CA,USA,Brown,Julie,Large
166,10169,30,100.0,Shipped,S12_1099,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Medium
167,10181,27,100.0,Shipped,S12_1099,+47 2267 3215,Bergen,,Norway,Oeztan,Veysel,Medium
168,10191,21,100.0,Shipped,S12_1099,0221-5554327,Koln,,Germany,Pfalzheim,Henriette,Medium
169,10203,20,100.0,Shipped,S12_1099,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Medium
170,10211,41,100.0,Shipped,S12_1099,(1) 47.55.6555,Paris,,France,Perrier,Dominique,Large
171,10225,27,100.0,Shipped,S12_1099,0897-034555,Gensve,,Switzerland,Holz,Michael,Medium
172,10238,28,100.0,Shipped,S12_1099,31 12 3555,Kobenhavn,,Denmark,Petersen,Jytte,Medium
173,10253,24,100.0,Cancelled,S12_1099,(171) 555-2282,Liverpool,,UK,Devon,Elizabeth,Medium
174,10266,44,100.0,Shipped,S12_1099,0522-556555,Reggio Emilia,,Italy,Moroni,Maurizio,Large
175,10276,50,100.0,Shipped,S12_1099,6175557555,Brickhaven,MA,USA,Barajas,Miguel,Large
176,10287,21,100.0,Shipped,S12_1099,0897-034555,Gensve,,Switzerland,Holz,Michael,Medium
177,10300,33,100.0,Shipped,S12_1099,+49 69 66 90 2555,Frankfurt,,Germany,Keitel,Roland,Medium
178,10310,33,100.0,Shipped,S12_1099,0221-5554327,Koln,,Germany,Pfalzheim,Henriette,Medium
179,10320,31,100.0,Shipped,S12_1099,0921-12 3555,Lule,,Sweden,Berglund,Christina,Medium
180,10329,41,71.47,Shipped,S12_1099,2125557818,NYC,NY,USA,Yu,Kwai,Small
181,10341,45,79.65,Shipped,S12_1099,6562-9555,Salzburg,,Austria,Pipps,Georg,Medium
182,10363,33,85.39,Shipped,S12_1099,+358 9 8045 555,Espoo,,Finland,Suominen,Kalle,Small
183,10375,45,76.0,Shipped,S12_1099,40.67.8555,Nantes,,France,Labrune,Janine,Medium
184,10389,26,99.04,Shipped,S12_1099,0695-34 6555,Boras,,Sweden,Larsson,Maria,Small
185,10419,12,100.0,Shipped,S12_1099,6562-9555,Salzburg,,Austria,Pipps,Georg,Small
186,10105,41,100.0,Shipped,S12_1108,31 12 3555,Kobenhavn,,Denmark,Petersen,Jytte,Large
187,10117,33,100.0,Shipped,S12_1108,+65 221 7555,Singapore,,Singapore,Natividad,Eric,Medium
188,10127,46,100.0,Shipped,S12_1108,2125557413,NYC,NY,USA,Young,Jeff,Large
189,10142,33,100.0,Shipped,S12_1108,4155551450,San Rafael,CA,USA,Nelson,Valarie,Large
190,10153,20,100.0,Shipped,S12_1108,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Medium
191,10165,44,100.0,Shipped,S12_1108,+65 221 7555,Singapore,,Singapore,Natividad,Eric,Large
192,10176,33,100.0,Shipped,S12_1108,0522-556555,Reggio Emilia,,Italy,Moroni,Maurizio,Large
193,10185,21,100.0,Shipped,S12_1108,5085559555,New Bedford,MA,USA,Tam,Wing C,Medium
194,10196,47,100.0,Shipped,S12_1108,2035559545,New Haven,CT,USA,Murphy,Leslie,Large
195,10208,46,100.0,Shipped,S12_1108,78.32.5555,Lyon,,France,Saveley,Mary,Large
196,10220,32,100.0,Shipped,S12_1108,+353 1862 1555,Dublin,,Ireland,Cassidy,Dean,Large
197,10231,42,100.0,Shipped,S12_1108,+34 913 728 555,Madrid,,Spain,Fernandez,Jesus,Large
198,10247,44,100.0,Shipped,S12_1108,+358 9 8045 555,Espoo,,Finland,Suominen,Kalle,Large
199,10272,35,100.0,Shipped,S12_1108,2155551555,Allentown,PA,USA,Yu,Kyung,Medium
200,10282,41,100.0,Shipped,S12_1108,4155551450,San Rafael,CA,USA,Nelson,Valarie,Large
201,10293,46,100.0,Shipped,S12_1108,011-4988555,Torino,,Italy,Accorti,Paolo,Large
202,10306,31,100.0,Shipped,S12_1108,(171) 555-1555,Manchester,,UK,Ashworth,Victoria,Medium
203,10314,38,100.0,Shipped,S12_1108,86 21 3555,Aaarhus,,Denmark,Ibsen,Palle,Large
204,10325,42,64.0,Shipped,S12_1108,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Small
205,10336,33,57.22,Shipped,S12_1108,(1) 42.34.2555,Paris,,France,Bertrand,Marie,Small
206,10348,48,52.36,Shipped,S12_1108,(91) 555 22 82,Madrid,,Spain,Sommer,Mart¡n,Small
207,10359,42,100.0,Shipped,S12_1108,26.47.1555,Reims,,France,Henriot,Paul,Medium
208,10371,32,100.0,Shipped,S12_1108,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
209,10382,34,100.0,Shipped,S12_1108,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
210,10395,33,69.12,Shipped,S12_1108,+33 1 46 62 7555,Paris,,France,Da Cunha,Daniel,Small
211,10413,36,100.0,Shipped,S12_1108,2035552570,Bridgewater,CT,USA,King,Julie,Large
212,10103,27,100.0,Shipped,S12_1666,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Medium
213,10113,21,100.0,Shipped,S12_1666,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
214,10126,21,100.0,Shipped,S12_1666,(91) 555 22 82,Madrid,,Spain,Sommer,Mart¡n,Small
215,10140,38,100.0,Shipped,S12_1666,6505556809,Burlingame,CA,USA,Hirano,Juri,Medium
216,10150,30,100.0,Shipped,S12_1666,+65 221 7555,Singapore,,Singapore,Natividad,Eric,Medium
217,10164,49,100.0,Resolved,S12_1666,7675-3555,Graz,,Austria,Mendel,Roland,Medium
218,10174,43,100.0,Shipped,S12_1666,61-7-3844-6555,South Brisbane,Queensland,Australia,Calaghan,Tony,Medium
219,10183,41,100.0,Shipped,S12_1666,2155554695,Philadelphia,PA,USA,Cervantes,Francisca,Medium
220,10194,38,100.0,Shipped,S12_1666,78.32.5555,Lyon,,France,Saveley,Mary,Medium
221,10206,28,100.0,Shipped,S12_1666,(604) 555-3392,Vancouver,BC,Canada,Tannamuri,Yoshi,Medium
222,10216,43,100.0,Shipped,S12_1666,30.59.8555,Versailles,,France,Tonini,Daniel,Medium
223,10229,25,100.0,Shipped,S12_1666,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
224,10245,38,100.0,Shipped,S12_1666,2035559545,New Haven,CT,USA,Murphy,Leslie,Medium
225,10258,41,100.0,Shipped,S12_1666,+81 3 3584 0555,Minato-ku,Tokyo,Japan,Shimamura,Akiko,Medium
226,10270,28,100.0,Shipped,S12_1666,+61 2 9495 8555,Chatswood,NSW,Australia,Huxley,Adrian,Medium
227,10281,25,100.0,Shipped,S12_1666,2155551555,Allentown,PA,USA,Yu,Kyung,Small
228,10291,41,100.0,Shipped,S12_1666,0695-34 6555,Boras,,Sweden,Larsson,Maria,Medium
229,10304,39,100.0,Shipped,S12_1666,30.59.8555,Versailles,,France,Tonini,Daniel,Medium
230,10313,21,100.0,Shipped,S12_1666,(604) 555-3392,Vancouver,BC,Canada,Tannamuri,Yoshi,Small
231,10322,27,100.0,Shipped,S12_1666,6035558647,Nashua,NH,USA,Young,Valarie,Medium
232,10333,33,99.21,Shipped,S12_1666,6505555787,San Francisco,CA,USA,Murphy,Julie,Medium
233,10347,29,100.0,Shipped,S12_1666,03 9520 4555,Melbourne,Victoria,Australia,Ferguson,Peter,Medium
234,10357,49,100.0,Shipped,S12_1666,4155551450,San Rafael,CA,USA,Nelson,Valarie,Medium
235,10370,49,100.0,Shipped,S12_1666,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Large
236,10381,20,100.0,Shipped,S12_1666,6505551386,San Francisco,CA,USA,Brown,Julie,Small
237,10391,39,63.2,Shipped,S12_1666,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Small
238,10411,40,100.0,Shipped,S12_1666,(514) 555-8054,Montreal,Quebec,Canada,Fresnisre,Jean,Medium
239,10424,49,100.0,In Process,S12_1666,(91) 555 94 44,Madrid,,Spain,Freyre,Diego,Large
240,10107,21,100.0,Shipped,S12_2823,2125557818,NYC,NY,USA,Yu,Kwai,Medium
241,10121,50,100.0,Shipped,S12_2823,26.47.1555,Reims,,France,Henriot,Paul,Large
242,10134,20,100.0,Shipped,S12_2823,+33 1 46 62 7555,Paris,,France,Da Cunha,Daniel,Small
243,10145,49,100.0,Shipped,S12_2823,6265557265,Pasadena,CA,USA,Young,Julie,Large
244,10159,38,100.0,Shipped,S12_2823,6505551386,San Francisco,CA,USA,Brown,Julie,Medium
245,10169,35,100.0,Shipped,S12_2823,02 9936 8555,North Sydney,NSW,Australia,O'Hara,Anna,Medium
246,10180,40,100.0,Shipped,S12_2823,20.16.1555,Lille,,France,Rance,Martine,Medium
247,10189,28,100.0,Shipped,S12_2823,6265557265,Pasadena,CA,USA,Young,Julie,Medium
248,10201,25,100.0,Shipped,S12_2823,6505555787,San Francisco,CA,USA,Murphy,Julie,Medium
249,10211,36,100.0,Shipped,S12_2823,(1) 47.55.6555,Paris,,France,Perrier,Dominique,Medium
250,10224,43,100.0,Shipped,S12_2823,20.16.1555,Lille,,France,Rance,Martine,Medium
251,10237,32,100.0,Shipped,S12_2823,2125551500,NYC,NY,USA,Frick,Michael,Medium
252,10251,46,100.0,Shipped,S12_2823,2015559350,Newark,NJ,USA,Brown,William,Large
253,10263,48,100.0,Shipped,S12_2823,2035552570,Bridgewater,CT,USA,King,Julie,Medium
254,10276,43,100.0,Shipped,S12_2823,6175557555,Brickhaven,MA,USA,Barajas,Miguel,Medium
255,10285,49,100.0,Shipped,S12_2823,6175558555,Cambridge,MA,USA,Hernandez,Marta,Medium
256,10299,24,100.0,Shipped,S12_2823,90-224 8555,Helsinki,,Finland,Karttunen,Matti,Medium
257,10309,26,100.0,Shipped,S12_2823,07-98 9555,Stavern,,Norway,Bergulfsen,Jonas,Medium
