,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
21,10361,20,72.55,13,1451.0,Shipped,4,12,2004,Motorcycles,95,S10_1678,+61 2 9495 8555,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
22,10375,21,34.91,12,733.11,Shipped,1,2,2005,Motorcycles,95,S10_1678,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Small
23,10388,42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,S10_1678,5085552555,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium
24,10403,24,100.0,7,2434.56,Shipped,2,4,2005,Motorcycles,95,S10_1678,(171) 555-2282,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
25,10417,66,100.0,2,7516.08,Disputed,2,5,2005,Motorcycles,95,S10_1678,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
26,10103,26,100.0,11,5404.62,Shipped,1,1,2003,Classic Cars,214,S10_1949,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
27,10112,29,100.0,1,7209.11,Shipped,1,3,2003,Classic Cars,214,S10_1949,0921-12 3555,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
28,10126,38,100.0,11,7329.06,Shipped,2,5,2003,Classic Cars,214,S10_1949,(91) 555 22 82,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large
29,10140,37,100.0,11,7374.1,Shipped,3,7,2003,Classic Cars,214,S10_1949,6505556809,Burlingame,CA,94217,USA,,Hirano,Juri,Large
30,10150,45,100.0,8,10993.5,Shipped,3,9,2003,Classic Cars,214,S10_1949,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
31,10163,21,100.0,1,4860.24,Shipped,4,10,2003,Classic Cars,214,S10_1949,2125558493,NYC,NY,10022,USA,,Hernandez,Maria,Medium
32,10174,34,100.0,4,8014.82,Shipped,4,11,2003,Classic Cars,214,S10_1949,61-7-3844-6555,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
33,10183,23,100.0,8,5372.57,Shipped,4,11,2003,Classic Cars,214,S10_1949,2155554695,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium
34,10194,42,100.0,11,7290.36,Shipped,4,11,2003,Classic Cars,214,S10_1949,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Large
35,10206,47,100.0,6,9064.89,Shipped,4,12,2003,Classic Cars,214,S10_1949,(604) 555-3392,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large
36,10215,35,100.0,3,6075.3,Shipped,1,1,2004,Classic Cars,214,S10_1949,3105553722,Burbank,CA,94019,USA,,Thompson,Steve,Medium
37,10228,29,100.0,2,6463.23,Shipped,1,3,2004,Classic Cars,214,S10_1949,6175555555,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium
38,10245,34,100.0,9,6120.34,Shipped,2,5,2004,Classic Cars,214,S10_1949,2035559545,New Haven,CT,97823,USA,,Murphy,Leslie,Medium
39,10258,32,100.0,6,7680.64,Shipped,2,6,2004,Classic Cars,214,S10_1949,+81 3 3584 0555,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
40,10270,21,100.0,9,4905.39,Shipped,3,7,2004,Classic Cars,214,S10_1949,+61 2 9495 8555,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
41,10280,34,100.0,2,8014.82,Shipped,3,8,2004,Classic Cars,214,S10_1949,011-4988555,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
42,10291,37,100.0,11,7136.19,Shipped,3,9,2004,Classic Cars,214,S10_1949,0695-34 6555,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
43,10304,47,100.0,6,10172.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,30.59.8555,Versailles,,78000,France,EMEA,Tonini,Daniel,Large
44,10312,48,100.0,3,11623.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,4155551450,San Rafael,CA,97562,USA,,Nelson,Valarie,Large
45,10322,40,100.0,1,6000.4,Shipped,4,11,2004,Classic Cars,214,S10_1949,6035558647,Nashua,NH,62005,USA,,Young,Valarie,Medium
46,10333,26,100.0,3,3003.0,Shipped,4,11,2004,Classic Cars,214,S10_1949,6505555787,San Francisco,CA,,USA,,Murphy,Julie,Medium
47,10347,30,100.0,1,3944.7,Shipped,4,11,2004,Classic Cars,214,S10_1949,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
48,10357,32,100.0,10,5691.84,Shipped,4,12,2004,Classic Cars,214,S10_1949,4155551450,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
49,10369,41,100.0,2,4514.92,Shipped,1,1,2005,Classic Cars,214,S10_1949,6175558555,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium
50,10381,36,100.0,3,8254.8,Shipped,1,2,2005,Classic Cars,214,S10_1949,6505551386,San Francisco,CA,,USA,,Brown,Julie,Large
51,10391,24,100.0,4,2416.56,Shipped,1,3,2005,Classic Cars,214,S10_1949,02 9936 8555,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
52,10411,23,100.0,9,4140.23,Shipped,2,5,2005,Classic Cars,214,S10_1949,(514) 555-8054,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium
53,10424,50,100.0,6,12001.0,In Process,2,5,2005,Classic Cars,214,S10_1949,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
54,10107,39,99.91,5,3896.49,Shipped,1,2,2003,Motorcycles,118,S10_2016,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Medium
55,10120,29,96.34,3,2793.86,Shipped,2,4,2003,Motorcycles,118,S10_2016,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
56,10134,27,100.0,5,3307.77,Shipped,3,7,2003,Motorcycles,118,S10_2016,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
57,10145,37,100.0,9,5192.95,Shipped,3,8,2003,Motorcycles,118,S10_2016,6265557265,Pasadena,CA,90003,USA,,Young,Julie,Medium
58,10159,37,100.0,17,5016.83,Shipped,4,10,2003,Motorcycles,118,S10_2016,6505551386,San Francisco,CA,,USA,,Brown,Julie,Medium
59,10168,27,100.0,4,3660.93,Shipped,4,10,2003,Motorcycles,118,S10_2016,6505556809,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
60,10180,42,100.0,12,4695.6,Shipped,4,11,2003,Motorcycles,118,S10_2016,20.16.1555,Lille,,59000,France,EMEA,Rance,Martine,Medium
61,10188,38,96.34,4,3660.92,Shipped,4,11,2003,Motorcycles,118,S10_2016,+47 2267 3215,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
62,10201,24,100.0,5,3025.92,Shipped,4,12,2003,Motorcycles,118,S10_2016,6505555787,San Francisco,CA,,USA,,Murphy,Julie,Medium
63,10210,23,100.0,2,3009.09,Shipped,1,1,2004,Motorcycles,118,S10_2016,+81 06 6342 5555,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
64,10223,47,100.0,4,5422.39,Shipped,1,2,2004,Motorcycles,118,S10_2016,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
65,10236,22,100.0,1,2852.08,Shipped,2,4,2004,Motorcycles,118,S10_2016,2155559857,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small
66,10251,44,100.0,5,5756.52,Shipped,2,5,2004,Motorcycles,118,S10_2016,2015559350,Newark,NJ,94019,USA,,Brown,William,Medium
67,10263,40,100.0,5,4472.0,Shipped,2,6,2004,Motorcycles,118,S10_2016,2035552570,Bridgewater,CT,97562,USA,,King,Julie,Medium
68,10275,22,100.0,4,2904.44,Shipped,3,7,2004,Motorcycles,118,S10_2016,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Small
69,10285,47,100.0,9,6484.59,Shipped,3,8,2004,Motorcycles,118,S10_2016,6175558555,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
70,10298,39,96.34,1,3757.26,Shipped,3,9,2004,Motorcycles,118,S10_2016,40.32.2555,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
71,10308,34,100.0,2,4043.96,Shipped,4,10,2004,Motorcycles,118,S10_2016,9145554562,White Plains,NY,24067,USA,,Frick,Steve,Medium
72,10318,45,100.0,4,5566.5,Shipped,4,11,2004,Motorcycles,118,S10_2016,2155551555,Allentown,PA,70267,USA,,Yu,Kyung,Medium
73,10329,20,100.0,2,3176.0,Shipped,4,11,2004,Motorcycles,118,S10_2016,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Medium
74,10339,40,68.92,4,2756.8,Shipped,4,11,2004,Motorcycles,118,S10_2016,+81 3 3584 0555,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
75,10361,26,51.15,8,1329.9,Shipped,4,12,2004,Motorcycles,118,S10_2016,+61 2 9495 8555,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
76,10374,39,100.0,5,5288.01,Shipped,1,2,2005,Motorcycles,118,S10_2016,61-7-3844-6555,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
77,10388,50,44.51,5,2225.5,Shipped,1,3,2005,Motorcycles,118,S10_2016,5085552555,New Bedford,MA,50553,USA,,Benitez,Violeta,Small
78,10402,45,100.0,1,5833.8,Shipped,2,4,2005,Motorcycles,118,S10_2016,(1) 47.55.6555,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
79,10417,45,100.0,5,5887.35,Disputed,2,5,2005,Motorcycles,118,S10_2016,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
80,10107,27,100.0,4,6065.55,Shipped,1,2,2003,Motorcycles,193,S10_4698,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Medium
81,10120,46,100.0,2,9264.86,Shipped,2,4,2003,Motorcycles,193,S10_4698,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
82,10134,31,100.0,4,7023.98,Shipped,3,7,2003,Motorcycles,193,S10_4698,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large
83,10145,33,100.0,8,5176.38,Shipped,3,8,2003,Motorcycles,193,S10_4698,6265557265,Pasadena,CA,90003,USA,,Young,Julie,Medium
84,10159,22,100.0,16,4132.7,Shipped,4,10,2003,Motorcycles,193,S10_4698,6505551386,San Francisco,CA,,USA,,Brown,Julie,Medium
85,10168,20,100.0,3,4183.0,Shipped,4,10,2003,Motorcycles,193,S10_4698,6505556809,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
86,10180,41,100.0,11,8892.9,Shipped,4,11,2003,Motorcycles,193,S10_4698,20.16.1555,Lille,,59000,France,EMEA,Rance,Martine,Large
87,10188,45,100.0,3,8714.7,Shipped,4,11,2003,Motorcycles,193,S10_4698,+47 2267 3215,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large
88,10201,49,100.0,4,8065.89,Shipped,4,12,2003,Motorcycles,193,S10_4698,6505555787,San Francisco,CA,,USA,,Murphy,Julie,Large
89,10210,34,100.0,1,6123.4,Shipped,1,1,2004,Motorcycles,193,S10_4698,+81 06 6342 5555,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
90,10223,49,100.0,3,9774.03,Shipped,1,2,2004,Motorcycles,193,S10_4698,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
91,10237,39,100.0,9,7023.9,Shipped,2,4,2004,Motorcycles,193,S10_4698,2125551500,NYC,NY,10022,USA,,Frick,Michael,Large
92,10251,43,100.0,4,7078.23,Shipped,2,5,2004,Motorcycles,193,S10_4698,2015559350,Newark,NJ,94019,USA,,Brown,William,Large
93,10263,41,100.0,4,8336.94,Shipped,2,6,2004,Motorcycles,193,S10_4698,2035552570,Bridgewater,CT,97562,USA,,King,Julie,Large
94,10275,36,100.0,3,6901.92,Shipped,3,7,2004,Motorcycles,193,S10_4698,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
95,10285,27,100.0,8,5438.07,Shipped,3,8,2004,Motorcycles,193,S10_4698,6175558555,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
96,10299,29,100.0,11,6683.34,Shipped,3,9,2004,Motorcycles,193,S10_4698,90-224 8555,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
97,10308,20,100.0,1,4570.4,Shipped,4,10,2004,Motorcycles,193,S10_4698,9145554562,White Plains,NY,24067,USA,,Frick,Steve,Medium
98,10318,37,100.0,3,7667.14,Shipped,4,11,2004,Motorcycles,193,S10_4698,2155551555,Allentown,PA,70267,USA,,Yu,Kyung,Large
99,10329,26,100.0,3,5868.2,Shipped,4,11,2004,Motorcycles,193,S10_4698,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Medium
100,10339,39,76.67,3,2990.13,Shipped,4,11,2004,Motorcycles,193,S10_4698,+81 3 3584 0555,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
101,10362,22,100.0,4,3664.1,Shipped,1,1,2005,Motorcycles,193,S10_4698,6505556809,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
102,10374,22,100.0,1,3834.38,Shipped,1,2,2005,Motorcycles,193,S10_4698,61-7-3844-6555,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
103,10388,21,86.77,7,1822.17,Shipped,1,3,2005,Motorcycles,193,S10_4698,5085552555,New Bedford,MA,50553,USA,,Benitez,Violeta,Small
104,10403,66,100.0,9,11886.6,Shipped,2,4,2005,Motorcycles,193,S10_4698,(171) 555-2282,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large
105,10417,56,100.0,4,9218.16,Disputed,2,5,2005,Motorcycles,193,S10_4698,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
106,10105,50,100.0,2,7208.0,Shipped,1,2,2003,Classic Cars,136,S10_4757,31 12 3555,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large
107,10119,46,100.0,11,5004.8,Shipped,2,4,2003,Classic Cars,136,S10_4757,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
108,10129,33,100.0,2,4398.24,Shipped,2,6,2003,Classic Cars,136,S10_4757,(171) 555-0297,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium
109,10143,49,100.0,15,5597.76,Shipped,3,8,2003,Classic Cars,136,S10_4757,5085559555,New Bedford,MA,50553,USA,,Tam,Wing C,Medium
110,10155,32,100.0,13,4526.08,Shipped,4,10,2003,Classic Cars,136,S10_4757,90-224 8555,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
111,10167,44,100.0,9,5924.16,Cancelled,4,10,2003,Classic Cars,136,S10_4757,0695-34 6555,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
112,10178,24,100.0,12,3492.48,Shipped,4,11,2003,Classic Cars,136,S10_4757,61.77.6555,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium
113,10186,26,100.0,9,3854.24,Shipped,4,11,2003,Classic Cars,136,S10_4757,(171) 555-7555,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium
114,10197,45,100.0,6,5324.4,Shipped,4,11,2003,Classic Cars,136,S10_4757,(93) 203 4555,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,Medium
115,10209,39,100.0,8,5197.92,Shipped,1,1,2004,Classic Cars,136,S10_4757,2155554369,Los Angeles,CA,,USA,,Chandler,Michael,Medium
116,10222,49,100.0,12,5997.6,Shipped,1,2,2004,Classic Cars,136,S10_4757,7605558146,San Diego,CA,91217,USA,,Thompson,Valarie,Medium
117,10248,20,100.0,3,2910.4,Cancelled,2,5,2004,Classic Cars,136,S10_4757,2125557818,NYC,NY,10022,USA,,Yu,Kwai,Small
118,10261,27,100.0,1,3378.24,Shipped,2,6,2004,Classic Cars,136,S10_4757,(514) 555-8054,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium
119,10273,30,100.0,4,3508.8,Shipped,3,7,2004,Classic Cars,136,S10_4757,(02) 5554 67,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium
120,10283,25,100.0,6,2992.0,Shipped,3,8,2004,Classic Cars,136,S10_4757,(604) 555-4555,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,Small
121,10295,24,100.0,1,3427.2,Shipped,3,9,2004,Classic Cars,136,S10_4757,6175559555,Boston,MA,51003,USA,,Yoshido,Juri,Medium
122,10307,22,100.0,9,2692.8,Shipped,4,10,2004,Classic Cars,136,S10_4757,2155554695,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Small
123,10316,33,100.0,17,4128.96,Shipped,4,11,2004,Classic Cars,136,S10_4757,(198) 555-8888,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium
124,10325,47,64.93,6,3051.71,Shipped,4,11,2004,Classic Cars,136,S10_4757,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
125,10337,25,48.05,8,1201.25,Shipped,4,11,2004,Classic Cars,136,S10_4757,2125558493,NYC,NY,10022,USA,,Hernandez,Maria,Small
126,10350,26,75.47,5,1962.22,Shipped,4,12,2004,Classic Cars,136,S10_4757,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small
127,10359,48,54.68,6,2624.64,Shipped,4,12,2004,Classic Cars,136,S10_4757,26.47.1555,Reims,,51100,France,EMEA,Henriot,Paul,Small
128,10373,39,100.0,3,4046.25,Shipped,1,1,2005,Classic Cars,136,S10_4757,981-443655,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Medium
129,10384,34,100.0,4,4846.7,Shipped,1,2,2005,Classic Cars,136,S10_4757,6505551386,San Francisco,CA,,USA,,Brown,Julie,Medium
130,10395,32,100.0,2,3370.56,Shipped,1,3,2005,Classic Cars,136,S10_4757,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
131,10400,64,100.0,9,9661.44,Shipped,2,4,2005,Classic Cars,136,S10_4757,4085553659,San Jose,CA,94217,USA,,Frick,Sue,Large
132,10414,19,100.0,3,2764.88,On Hold,2,5,2005,Classic Cars,136,S10_4757,6175559555,Boston,MA,51003,USA,,Yoshido,Juri,Small
133,10103,42,100.0,4,5398.26,Shipped,1,1,2003,Classic Cars,147,S10_4962,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
134,10114,31,100.0,8,4305.28,Shipped,2,4,2003,Classic Cars,147,S10_4962,(1) 42.34.2555,Paris,,75012,France,EMEA,Bertrand,Marie,Medium
135,10126,22,100.0,4,3347.74,Shipped,2,5,2003,Classic Cars,147,S10_4962,(91) 555 22 82,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium
136,10140,26,100.0,4,3188.12,Shipped,3,7,2003,Classic Cars,147,S10_4962,6505556809,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
137,10150,20,100.0,1,3191.2,Shipped,3,9,2003,Classic Cars,147,S10_4962,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium
138,10164,21,100.0,2,3536.82,Resolved,4,10,2003,Classic Cars,147,S10_4962,7675-3555,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium
139,10175,33,100.0,9,5362.83,Shipped,4,11,2003,Classic Cars,147,S10_4962,(171) 555-0297,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium
140,10183,28,100.0,1,3433.36,Shipped,4,11,2003,Classic Cars,147,S10_4962,2155554695,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium
141,10194,26,100.0,4,4263.74,Shipped,4,11,2003,Classic Cars,147,S10_4962,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Medium
142,10207,31,100.0,15,4076.19,Shipped,4,12,2003,Classic Cars,147,S10_4962,6175552555,Boston,MA,51003,USA,,Franco,Valarie,Medium
143,10217,48,100.0,4,7020.48,Shipped,1,2,2004,Classic Cars,147,S10_4962,+65 224 1555,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Large
144,10229,50,100.0,9,6426.5,Shipped,1,3,2004,Classic Cars,147,S10_4962,4155551450,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
145,10245,28,100.0,2,4591.72,Shipped,2,5,2004,Classic Cars,147,S10_4962,2035559545,New Haven,CT,97823,USA,,Murphy,Leslie,Medium
146,10259,26,100.0,12,4033.38,Shipped,2,6,2004,Classic Cars,147,S10_4962,+65 224 1555,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Medium
147,10270,32,100.0,2,4302.08,Shipped,3,7,2004,Classic Cars,147,S10_4962,+61 2 9495 8555,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
148,10281,44,100.0,9,7020.64,Shipped,3,8,2004,Classic Cars,147,S10_4962,2155551555,Allentown,PA,70267,USA,,Yu,Kyung,Large
149,10291,30,100.0,4,3855.9,Shipped,3,9,2004,Classic Cars,147,S10_4962,0695-34 6555,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
150,10305,38,100.0,13,6680.78,Shipped,4,10,2004,Classic Cars,147,S10_4962,6175558555,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
151,10313,40,100.0,7,6678.0,Shipped,4,10,2004,Classic Cars,147,S10_4962,(604) 555-3392,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Medium
152,10322,46,61.99,8,2851.54,Shipped,4,11,2004,Classic Cars,147,S10_4962,6035558647,Nashua,NH,62005,USA,,Young,Valarie,Small
153,10334,26,100.0,2,3188.12,On Hold,4,11,2004,Classic Cars,147,S10_4962,0921-12 3555,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium
154,10347,27,100.0,2,4428.0,Shipped,4,11,2004,Classic Cars,147,S10_4962,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
155,10357,43,100.0,9,5780.92,Shipped,4,12,2004,Classic Cars,147,S10_4962,4155551450,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
156,10370,35,65.63,4,2297.05,Shipped,1,1,2005,Classic Cars,147,S10_4962,02 9936 8555,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
157,10381,37,100.0,6,6231.54,Shipped,1,2,2005,Classic Cars,147,S10_4962,6505551386,San Francisco,CA,,USA,,Brown,Julie,Medium
158,10391,37,46.9,7,1735.3,Shipped,1,3,2005,Classic Cars,147,S10_4962,02 9936 8555,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
159,10411,27,100.0,2,4427.73,Shipped,2,5,2005,Classic Cars,147,S10_4962,(514) 555-8054,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium
160,10425,38,100.0,12,5894.94,In Process,2,5,2005,Classic Cars,147,S10_4962,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
161,10108,33,100.0,6,5265.15,Shipped,1,3,2003,Classic Cars,194,S12_1099,+63 2 555 3587,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,Medium
162,10122,42,100.0,10,7599.9,Shipped,2,5,2003,Classic Cars,194,S12_1099,91.24.4555,Marseille,,13008,France,EMEA,Lebihan,Laurence,Large
163,10135,42,100.0,7,8008.56,Shipped,3,7,2003,Classic Cars,194,S12_1099,4155551450,San Rafael,CA,97562,USA,,Nelson,Valarie,Large
164,10147,48,100.0,7,9245.76,Shipped,3,9,2003,Classic Cars,194,S12_1099,6175558555,Brickhaven,MA,58339,USA,,Nelson,Allen,Large
